,0,1,2,3,4,5,6,7,8,9
637,"(1004.35516, 273.23538)","(1004.37946, 273.2981)","(1004.3905, 273.36996)","(1004.4263, 273.39157)","(1004.41064, 273.58197)","(1004.39996, 273.739)","(1004.3897, 273.8794)","(1004.3747, 274.01053)","(1004.3531, 274.1474)","(1004.33136, 274.28162)"
638,"(1024.6144, 188.75745)","(1024.6173, 188.7579)","(1024.6166, 188.75792)","(1024.6199, 188.75713)","(1024.614, 188.75954)","(1024.613, 188.7569)","(1024.6079, 188.755)","(1024.6064, 188.75496)","(1024.315, 188.60634)","(1022.9381, 187.71466)"
639,"(947.2254, 177.24294)","(947.1761, 177.30371)","(947.1008, 177.35744)","(947.0384, 177.40356)","(946.79443, 177.4781)","(946.56836, 177.53638)","(946.3809, 177.6969)","(945.9295, 177.85985)","(945.69617, 177.96373)","(945.4555, 178.05646)"
640,"(850.63776, 424.2357)","(850.6398, 424.2642)","(850.651, 424.289)","(850.6447, 424.3131)","(850.66235, 424.3218)","(850.6709, 424.3261)","(850.6819, 424.32388)","(850.6862, 424.32645)","(850.67975, 424.3341)","(850.6799, 424.33682)"
641,"(572.8813, 383.33658)","(572.87994, 383.3117)","(572.8772, 383.2791)","(572.87225, 383.25046)","(572.8742, 383.23306)","(572.86597, 383.2086)","(572.86505, 383.18265)","(572.85724, 383.15985)","(572.836, 383.14328)","(572.8102, 383.1249)"
642,"(628.33826, 186.01335)","(628.2477, 186.15636)","(628.1474, 186.29501)","(628.073, 186.42346)","(628.0201, 186.42238)","(627.98016, 186.39977)","(627.943, 186.3836)","(627.91565, 186.35573)","(627.9138, 186.36166)","(627.91296, 186.35649)"
643,"(963.7163, 196.43315)","(963.6976, 196.45493)","(963.6804, 196.4767)","(963.6684, 196.49532)","(963.36395, 196.43588)","(963.05646, 196.39212)","(962.5825, 196.33846)","(962.09467, 196.35707)","(961.9137, 196.34328)","(961.69604, 196.35637)"
644,"(899.17804, 135.30438)","(899.18195, 135.30391)","(899.1767, 135.29692)","(899.17535, 135.29561)","(899.1938, 135.28526)","(899.2202, 135.27357)","(899.24097, 135.2651)","(899.2619, 135.25578)","(899.2692, 135.25772)","(899.2852, 135.2514)"
645,"(947.01404, 225.92506)","(946.21716, 226.05888)","(946.1116, 226.07727)","(946.0581, 226.11967)","(946.065, 226.117)","(946.0725, 226.11241)","(946.0844, 226.109)","(946.0963, 226.1027)","(946.1058, 226.10548)","(946.123, 226.1047)"
646,"(700.82556, 289.048)","(700.81854, 288.99136)","(700.8161, 288.9326)","(700.8127, 288.8745)","(700.81854, 288.83823)","(700.8163, 288.7939)","(700.8189, 288.7549)","(700.8126, 288.7117)","(700.79425, 288.69647)","(700.78455, 288.6673)"
647,"(484.30695, 312.312)","(484.30103, 312.36374)","(484.2984, 312.4125)","(484.29172, 312.4665)","(484.288, 312.48746)","(484.2774, 312.5148)","(484.27457, 312.54263)","(484.27243, 312.57355)","(484.27155, 312.603)","(484.27466, 312.62582)"
648,"(875.9293, 23.899837)","(875.9666, 23.926203)","(875.99896, 23.94835)","(876.0521, 23.983103)","(876.0515, 23.982681)","(876.051, 23.982653)","(876.0512, 23.982723)","(876.0517, 23.980713)","(876.0525, 23.986282)","(876.0578, 23.987492)"
649,"(472.01102, 231.62585)","(472.0128, 231.62668)","(472.0051, 231.63472)","(472.00668, 231.64392)","(472.00153, 231.6502)","(471.99344, 231.64938)","(471.98822, 231.64818)","(471.98648, 231.65569)","(471.9795, 231.64331)","(471.97864, 231.63057)"
650,"(932.4486, 252.64508)","(932.4359, 252.6484)","(932.444, 252.65692)","(932.4485, 252.67451)","(932.44946, 252.69685)","(932.44135, 252.72797)","(932.44104, 252.76093)","(932.4258, 252.79938)","(932.4295, 252.82857)","(932.423, 252.86569)"
651,"(564.3284, 610.80817)","(564.326, 610.8226)","(564.3219, 610.8342)","(564.32056, 610.8549)","(564.3204, 610.85565)","(564.3204, 610.8562)","(564.3203, 610.8536)","(564.3215, 610.8529)","(564.32227, 610.8408)","(564.3223, 610.834)"
652,"(923.6171, 27.923874)","(923.62445, 27.930452)","(923.6272, 27.935984)","(923.63306, 27.943003)","(923.6335, 27.94275)","(923.6339, 27.942556)","(923.6342, 27.94152)","(923.6296, 27.94271)","(923.62384, 27.940998)","(923.62244, 27.941496)"
653,"(289.32822, 51.45725)","(289.33652, 51.45438)","(289.34827, 51.451035)","(289.3468, 51.446682)","(289.36377, 51.446705)","(289.36398, 51.446877)","(289.37466, 51.445847)","(289.37357, 51.439213)","(289.37033, 51.438995)","(289.36697, 51.438927)"
654,"(453.82104, 125.416214)","(453.83463, 125.42716)","(453.8444, 125.42401)","(453.85352, 125.441055)","(453.85526, 125.449844)","(453.8432, 125.450455)","(453.8205, 125.44971)","(453.8, 125.45345)","(453.79953, 125.45237)","(453.8003, 125.454956)"
655,"(289.40045, 61.52819)","(289.38895, 61.529373)","(289.37753, 61.530437)","(289.3641, 61.532288)","(289.3275, 61.543484)","(289.28772, 61.536934)","(289.2535, 61.539104)","(289.22073, 61.529736)","(289.21918, 61.529785)","(289.21692, 61.529236)"
656,"(26.557817, 178.53654)","(26.448235, 177.36725)","(26.552656, 178.30827)","(26.463785, 178.12006)","(26.433947, 177.75041)","(26.400051, 177.40657)","(26.400932, 177.25795)","(26.404299, 177.09042)","(26.398438, 177.01495)","(26.399918, 176.93646)"
657,"(1169.6042, 57.305683)","(1169.6023, 57.247074)","(1169.5969, 57.191334)","(1169.6024, 57.130245)","(1169.5986, 57.06792)","(1169.6016, 57.003708)","(1169.598, 56.9348)","(1169.6007, 56.871246)","(1169.5996, 56.896214)","(1169.5979, 56.91949)"
658,"(538.847, 25.694397)","(538.7597, 25.789509)","(538.6738, 25.891891)","(538.59796, 26.003504)","(538.59827, 26.015789)","(538.54315, 26.080183)","(538.5314, 26.099968)","(538.5089, 26.16066)","(538.4691, 26.166306)","(538.4338, 26.184923)"
659,"(34.15381, 182.3149)","(32.89308, 181.52199)","(32.27454, 182.02846)","(32.100876, 181.91081)","(32.091217, 181.67737)","(32.054253, 181.44083)","(32.010666, 181.3907)","(31.96493, 181.33215)","(31.9665, 181.32811)","(31.964275, 181.31644)"
660,"(540.7811, 557.00525)","(540.7837, 557.09235)","(540.7911, 557.1719)","(540.7991, 557.25275)","(540.79315, 557.3014)","(540.7905, 557.3692)","(540.78186, 557.4098)","(540.7746, 557.46954)","(540.7751, 557.48047)","(540.7782, 557.5085)"
661,"(614.3726, 188.50182)","(614.374, 188.56934)","(614.38275, 188.63036)","(614.38477, 188.70062)","(614.38965, 188.67064)","(614.39246, 188.62715)","(614.3964, 188.60255)","(614.3992, 188.58145)","(614.4092, 188.58669)","(614.4168, 188.59395)"
662,"(476.76147, 134.54306)","(476.76492, 134.55182)","(476.7665, 134.56017)","(476.76663, 134.58083)","(476.7681, 134.57994)","(476.7694, 134.58588)","(476.77005, 134.59085)","(476.7734, 134.59157)","(476.77634, 134.60095)","(476.77634, 134.60678)"
663,"(1099.2712, 177.42404)","(1098.6995, 178.42177)","(1099.1581, 179.61449)","(1099.4044, 179.91049)","(1099.5885, 180.02191)","(1099.8374, 180.10991)","(1100.0936, 180.18802)","(1100.353, 180.24661)","(1100.3838, 180.27963)","(1100.4286, 180.30347)"
664,"(582.4761, 94.98535)","(582.5986, 94.88364)","(583.01605, 94.89426)","(583.02625, 94.87333)","(583.02814, 94.87767)","(583.02576, 94.8781)","(583.02484, 94.88106)","(583.0238, 94.87705)","(583.0202, 94.897804)","(583.0144, 94.90532)"
